date,000933.CSI_open,000933.CSI_high,000933.CSI_low,000933.CSI_close,000933.CSI_change,000933.CSI_amount,000933.CSI_volume
9/26/2016,9394.83,9401.68,9239.14,9239.14,-0.0178,8696.57,439801300
9/27/2016,9231.65,9300.58,9202.08,9300.58,0.0066,6617.62,339083000
9/28/2016,9334.06,9334.72,9274.59,9305.5,0.0005,5872.77,283762800
9/29/2016,9305.36,9371.78,9305.14,9341.95,0.0039,6796.58,314113000
9/30/2016,9337.91,9409.03,9333.6,9386.26,0.0047,6531.39,310306600
10/10/2016,9439.69,9596.94,9439.69,9595.43,0.0223,12218.54,573620700
10/11/2016,9590.92,9613.84,9576.6,9613.84,0.0019,9193.1,435448500
10/12/2016,9595.99,9624.97,9576.54,9607.34,-0.0007,8406.81,409083500
10/13/2016,9608.86,9624.71,9582.73,9595.33,-0.0013,9111.58,500917600
10/14/2016,9579.73,9597.13,9538.05,9591.7,-0.0004,8575.26,450221500
10/17/2016,9594.76,9642.85,9526.28,9548.09,-0.0045,10162.07,545065400
10/18/2016,9547.41,9637.93,9547.41,9637.81,0.0094,9964.67,518835600
10/19/2016,9643.73,9664.16,9602.58,9620.3,-0.0018,10163.12,523364200
10/20/2016,9630.52,9640.75,9568.52,9577.43,-0.0045,9574.77,468245300
10/21/2016,9574.77,9587.75,9491.66,9537.37,-0.0042,9237.22,452627700
10/24/2016,9536.51,9618.54,9528.56,9606.66,0.0073,10255.66,510265200
10/25/2016,9605.14,9614.5,9577.91,9599.74,-0.0007,9780.11,510946300
10/26/2016,9616.51,9642.63,9588.37,9607.08,0.0008,11525.17,616616600
10/27/2016,9601.06,9601.06,9528.49,9564.65,-0.0044,8543.46,484291600
10/28/2016,9550.6,9593.48,9502.52,9504.61,-0.0063,9721.07,584930300
10/31/2016,9484.02,9499.19,9444.66,9483.4,-0.0022,10244.6,535444400
11/1/2016,9492.16,9571.1,9483.86,9564.45,0.0085,9463.86,521386700
11/2/2016,9548.21,9585.18,9522.04,9528.18,-0.0038,10834.89,605546300
