,B.IPE_open,B.IPE_high,B.IPE_low,B.IPE_close,B.IPE_volume
2022-07-19,105.74,107.61,103.6,107.27,226403.0
2022-07-20,107.07,107.45,105.08,106.61,186695.0
2022-07-21,106.49,106.78,101.5,103.89,228699.0
2022-07-22,99.24,101.02,97.5,98.75,201569.0
2022-07-25,98.99,100.41,96.7,99.96,228258.0
2022-07-26,99.75,102.39,99.05,99.72,244052.0
2022-07-27,99.83,102.88,98.85,102.33,254560.0
2022-07-28,102.35,104.2,100.97,102.4,306963.0
2022-07-29,102.69,106.5,101.64,104.0,278879.0
2022-08-01,103.92,104.43,99.09,99.93,272835.0
2022-08-02,99.87,102.41,98.49,99.92,229684.0
2022-08-03,99.73,102.41,96.5,97.1,293111.0
2022-08-04,97.1,97.66,93.2,93.6,264805.0
2022-08-05,93.65,96.4,92.78,94.66,216197.0
2022-08-08,94.51,96.82,93.01,96.52,201246.0
2022-08-09,96.36,98.4,94.9,96.53,219670.0
2022-08-10,96.34,97.97,93.63,97.06,247741.0
2022-08-11,97.04,100.17,96.63,99.42,219416.0
2022-08-12,99.33,100.38,96.94,98.01,188126.0
2022-08-15,97.72,98.17,92.78,93.47,217574.0
2022-08-16,94.01,95.95,91.71,92.76,217751.0
2022-08-17,92.67,94.48,91.51,93.05,199193.0
2022-08-18,93.29,97.42,93.05,96.58,208551.0
2022-08-19,96.68,97.88,94.25,96.09,178601.0
2022-08-22,95.95,97.28,92.36,96.69,207640.0
2022-08-23,96.78,100.45,96.53,100.15,210633.0
2022-08-24,100.19,101.9,99.1,101.73,183731.0
2022-08-25,100.79,101.53,98.23,98.95,223977.0
2022-08-26,98.95,100.1,96.96,98.9,277481.0
2022-08-29,98.96,103.22,98.25,102.95,211627.0
2022-08-30,102.88,103.48,96.63,98.47,356096.0
2022-08-31,98.33,99.0,94.4,94.96,290425.0
2022-09-01,95.18,95.68,91.81,92.17,297547.0
2022-09-02,92.66,95.32,92.65,93.28,210002.0
2022-09-05,93.02,96.99,93.02,95.23,144255.0
2022-09-06,95.19,95.94,92.3,92.85,225949.0
2022-09-07,92.81,93.8,87.4,87.71,300200.0
2022-09-08,87.7,89.83,87.24,88.61,208658.0
2022-09-09,88.62,93.12,88.6,92.42,202939.0
2022-09-13,94.31,95.53,91.05,93.55,275167.0
2022-09-14,93.4,95.8,91.93,94.64,259902.0
2022-09-15,94.65,94.66,90.03,90.8,257617.0
2022-09-16,90.51,92.66,90.25,91.57,197482.0
2022-09-19,91.43,92.57,88.5,91.73,138529.0
2022-09-20,92.15,93.05,89.8,90.87,188559.0
2022-09-21,89.57,92.23,88.31,88.97,247638.0
2022-09-22,88.83,91.74,88.28,89.36,219294.0
2022-09-23,89.57,89.88,84.55,85.54,304198.0
2022-09-26,85.54,86.45,82.44,82.72,257042.0
2022-09-27,82.84,85.84,82.81,84.43,252519.0
2022-09-28,84.83,88.22,82.94,87.93,301384.0
2022-09-29,87.62,88.74,86.15,87.46,284217.0
2022-09-30,87.55,88.64,85.0,85.57,275058.0
2022-10-10,98.75,98.75,95.6,96.07,215365.0
2022-10-11,95.93,96.46,93.11,93.8,259027.0
2022-10-12,93.72,95.17,91.56,92.41,257656.0
2022-10-13,92.49,94.92,91.08,94.69,280518.0
2022-10-14,94.53,95.11,91.28,91.46,210773.0
2022-10-17,91.71,93.21,90.83,91.98,203801.0
2022-10-18,91.99,92.66,88.77,90.64,320421.0
2022-10-19,90.79,92.85,89.32,92.57,272350.0
2022-10-20,92.4,94.77,91.91,92.73,237540.0
2022-10-21,92.45,93.8,91.0,93.6,203280.0
2022-10-24,93.59,94.4,91.22,93.45,179202.0
2022-10-25,93.47,94.38,91.62,93.06,165514.0
2022-10-26,91.12,94.3,90.39,94.15,262010.0
2022-10-27,94.15,95.3,93.18,94.73,247955.0
2022-10-28,94.61,94.9,93.02,94.16,281472.0
2022-10-31,94.43,94.48,91.46,92.85,304529.0
2022-11-01,92.67,95.55,92.33,94.77,247652.0
2022-11-02,94.85,96.5,94.01,95.52,253003.0
2022-11-03,95.36,95.98,94.19,94.55,229115.0
2022-11-04,94.58,98.81,94.33,98.75,307087.0
2022-11-07,97.31,99.56,96.5,97.93,241941.0
2022-11-08,98.24,98.3,95.0,95.05,251667.0
2022-11-09,95.17,95.65,92.33,92.47,308020.0
2022-11-10,92.53,94.32,91.73,93.34,278533.0
2022-11-11,93.84,96.92,93.69,95.76,238066.0
2022-11-14,95.87,96.95,92.5,92.5,248245.0
2022-11-15,92.59,95.77,91.53,93.77,317499.0
2022-11-16,94.11,94.79,91.67,92.61,257615.0
2022-11-17,92.73,92.91,89.53,90.02,313529.0
2022-11-18,90.1,90.63,85.8,87.74,379661.0
2022-11-21,87.74,87.98,82.31,87.79,354597.0
2022-11-22,87.37,89.15,86.97,87.65,243703.0
2022-11-23,87.81,88.76,83.91,84.44,305216.0
2022-11-24,84.85,85.34,84.0,85.09,142862.0
2022-11-25,85.45,86.88,83.66,83.84,175711.0
2022-11-28,84.0,84.67,80.81,83.24,341921.0
2022-11-29,83.21,86.72,83.19,84.94,349279.0
2022-11-30,84.9,87.39,84.45,86.64,247655.0
2022-12-01,86.78,89.37,86.26,87.26,229128.0
2022-12-02,86.9,87.91,85.16,85.42,198732.0
2022-12-05,85.73,88.44,82.52,83.0,252904.0
2022-12-06,83.28,83.69,78.7,79.72,309553.0
2022-12-07,79.76,80.49,76.91,77.39,279365.0
2022-12-08,77.46,79.17,75.74,76.51,259015.0
2022-12-09,76.63,77.48,75.11,76.82,216497.0
2022-12-12,76.88,78.59,75.26,78.02,213072.0
2022-12-13,78.13,81.28,78.1,80.39,243816.0
2022-12-14,80.35,83.15,80.11,82.8,209833.0
2022-12-15,82.76,83.18,80.83,81.45,194974.0
2022-12-16,81.32,81.78,78.29,79.26,243493.0
2022-12-19,79.21,80.87,78.6,80.1,174244.0
2022-12-20,80.25,80.89,78.28,79.68,183945.0
2022-12-21,80.53,82.92,80.06,82.67,178088.0
2022-12-22,82.93,84.21,81.35,82.36,211179.0
2022-12-23,82.32,84.7,81.83,84.55,180396.0
2022-12-26,,,,84.55,
2022-12-27,85.0,86.1,84.19,85.16,160090.0
2022-12-28,84.92,85.15,82.51,83.77,211211.0
2022-12-29,83.63,83.84,81.85,83.73,197792.0
2022-12-30,83.71,86.0,82.88,85.99,168654.0
2023-01-03,85.96,87.0,81.78,82.46,302855.0
2023-01-04,82.31,82.72,77.72,78.1,319305.0
2023-01-05,78.16,79.97,77.61,78.88,259584.0
2023-01-06,78.8,80.59,78.05,78.6,215424.0
2023-01-09,78.42,81.37,78.42,79.8,245120.0
2023-01-10,79.54,80.89,78.81,79.62,244353.0
2023-01-11,79.52,83.0,79.31,82.91,273786.0
2023-01-12,82.88,84.62,82.37,83.82,264068.0
2023-01-13,83.91,85.5,83.5,85.43,217396.0
2023-01-16,85.36,85.59,83.83,84.12,125963.0
2023-01-17,84.2,86.82,84.04,86.7,238298.0
2023-01-18,86.45,87.85,84.36,84.64,288148.0
2023-01-19,84.34,86.85,83.76,86.38,250959.0
2023-01-20,86.42,87.79,85.58,87.66,212917.0
2023-01-30,86.81,87.28,84.26,84.64,313162.0
2023-01-31,84.62,85.79,83.16,85.53,327095.0
2023-02-01,85.56,86.21,82.37,83.06,348662.0
2023-02-02,83.34,83.61,81.25,82.1,287085.0
2023-02-03,82.27,84.2,79.62,79.82,330324.0
2023-02-06,79.61,81.43,79.1,81.4,325206.0
2023-02-07,81.26,84.13,81.19,84.09,290979.0
2023-02-08,84.11,85.15,83.51,85.02,254144.0
2023-02-09,84.96,85.5,83.05,84.08,260730.0
