指标名称,中国:全社会用电量:第一产业:当月值,中国:全社会用电量:第三产业:当月值,中国:全社会用电量:第二产业:当月值,中国:全社会用电量:当月值,中国:发电新增设备容量:太阳能:累计值,中国:规模以上工业增加值:电力、热力的生产和供应业:当月同比,中国:用电量:电力、燃气及水的生产和供应业:当月值,中国:产成品存货:电力、热力生产和供应业,中国:产成品存货:电力、热力生产和供应业:同比,中国:存货:电力、热力生产和供应业:同比,中国:消费量:动力煤:电力行业:当月值
2016-01-31,620000.0,7060000.0,3.487E7,4.95E7,,,7407815.227,,,,17000.0
2016-02-29,552150.3759,6194648.753,2.428332856E7,3.811523903E7,347.64,,3751172.228,334000.0,-23.0,-6.6,12292.0
2016-03-31,669207.7128,6154861.904,3.376142434E7,4.76176979E7,442.1,4.1,8008615.03,384000.0,-15.8,-3.6,15728.0
2016-04-30,863074.1944,5687975.955,3.315730379E7,4.56893734E7,587.81,0.6,5193578.326,421000.0,-7.5,-1.3,14424.0
2016-05-31,966584.2487,5600917.996,3.526392696E7,4.73049963E7,791.12,1.4,6595220.771,433000.0,-9.4,-1.5,14583.0
2016-06-30,1078270.757,6318129.109,3.627453523E7,4.925253107E7,1759.52,3.3,6838930.962,439000.0,-13.9,-3.7,15374.0
2016-07-31,1321558.7632,7425506.1257,3.97632469913E7,5.52335607316E7,2126.67,6.9,9816568.7253,462000.0,-8.5,-5.4,17351.0
2016-08-31,1327215.4832,8258736.1886,3.79586331323E7,5.63109016771E7,2179.52,6.8,7581589.2965,445000.0,-14.8,-4.1,18167.0
2016-09-30,1048903.6768,7468461.8783,3.26042335796E7,4.96522042672E7,2253.76,7.1,4040593.5248,467000.0,-11.6,-2.6,15799.0
2016-10-31,811353.7148,6289264.175,3.54724946891E7,4.8898938E7,2316.6,7.5,6775918.1642,510000.0,14.9,3.0,15549.0
2016-11-30,764983.8715,6329666.01,3.76871257613E7,5.0716798E7,2393.38,9.6,7502264.0004,542000.0,-3.9,7.1,16384.0
2016-12-31,728298.5731,6758544.7099,3.98950668982E7,5.35117229869E7,3459.0,7.7,,438000.0,-15.6,9.0,18477.0
2017-01-31,682698.1312,7282909.1271,3.37045978515E7,4.86739430427E7,,,5897170.3244,,,,16180.0
2017-02-28,653382.7005,6999751.2961,2.95657784416E7,4.48825682469E7,339.66,,5347111.0013,326000.0,-0.9,7.9,13240.0
2017-03-31,714362.9016,6697062.1349,3.68478628229E7,5.13877787873E7,394.33,10.0,8697188.6118,369000.0,-7.3,8.7,16484.0
2017-04-30,854044.14,6406162.0909,3.48430358028E7,4.84720880417E7,888.07,7.8,5025594.702,391000.0,-12.7,14.1,14330.0
2017-05-31,1010800.5131,6203122.4114,3.66038020603E7,4.9675123E7,1168.86,6.1,6989772.1604,463000.0,-0.9,18.6,14527.0
2017-06-30,591000.0,7017639.5373,3.82297073548E7,5.2444183E7,2361.8,6.6,7045103.3924,372000.0,-25.0,16.5,15189.0
2017-07-31,1454143.2049,8401464.3886,4.36273595321E7,6.07242255079E7,3492.41,9.7,1.15893280819E7,374000.0,-23.4,14.3,17890.0
2017-08-31,1483433.0688,9311175.5779,3.89039903007E7,5.9910827E7,3828.06,8.2,7076591.6011,457000.0,-7.7,13.4,17663.0
2017-09-30,1080650.9459,8349935.4861,3.42052883038E7,5.3168246E7,4231.01,7.3,4453950.736,477000.0,-8.4,14.8,15180.0
2017-10-31,841209.2641,7075456.8122,3.64998184092E7,5.12995349682E7,4480.06,8.8,6594598.3759,561000.0,-3.6,15.2,14213.0
2017-11-30,789130.4834,6872307.5079,3.90265532176E7,5.31015598708E7,4864.9,3.5,7782888.6672,450000.0,-23.2,13.2,15264.0
2017-12-31,808799.1135,7600597.4316,4.22742049257E7,5.74560605318E7,5337.5232,7.2,,424000.0,-13.8,4.3,17928.0
2018-01-31,774227.0,9068363.0,4.1967904E7,5.995134E7,,,9510282.0,,,,18497.0
2018-02-28,665740.0,8202827.0,2.80202E7,4.557323E7,1087.0,,1890719.0,367000.0,1.9,9.3,12584.0
2018-03-31,751980.0,7766317.0,3.5836399E7,5.3251529E7,1136.0,5.1,9427790.0,338000.0,-18.6,9.6,15832.0
2018-04-30,546332.0,7765447.0,3.6976089E7,5.2167975E7,1294.0,8.3,5757426.0,410000.0,-10.3,6.4,15023.0
2018-05-31,584822.0,8031627.0,4.0306071E7,5.5339127E7,1517.0,12.4,7662622.0,370000.0,-21.3,3.9,15824.0
2018-06-30,646663.0,8922197.0,4.0369798E7,5.6630439E7,2581.0,9.3,7769761.0,399000.0,0.0,7.5,15863.0
2018-07-31,723502.0,1.0307253E7,4.5573656E7,6.4844537E7,3127.0,8.8,1.2345824E7,396000.0,1.0,13.0,18121.0
2018-08-31,822742.0,1.1422871E7,4.1834507E7,6.5211548E7,3303.0,10.0,7743780.0,419000.0,-12.3,10.9,18555.0
2018-09-30,725376.0,1.0156392E7,3.6225319E7,5.7423724E7,3452.0,11.0,3669739.0,411000.0,-17.6,10.1,15753.0
2018-10-31,600934.0,8220264.0,3.8497461E7,5.481412E7,3651.0,5.9,7098540.0,448000.0,-25.5,11.7,15558.0
2018-11-30,579892.0,8114162.0,4.1088914E7,5.6466039E7,3822.0,9.0,8019207.0,496000.0,3.3,10.8,16294.0
