,SN.LME_open,SN.LME_high,SN.LME_low,SN.LME_close,SN.LME_volume
2016-05-31,16225.0,16300.0,16140.0,16280.0,146.0
2016-06-01,16250.0,16250.0,15900.0,16180.0,377.0
2016-06-02,16155.0,16250.0,16105.0,16240.0,176.0
2016-06-03,16200.0,16575.0,16200.0,16520.0,323.0
2016-06-06,16600.0,16955.0,16600.0,16900.0,583.0
2016-06-07,16865.0,16935.0,16815.0,16885.0,264.0
2016-06-08,16920.0,17100.0,16800.0,17095.0,364.0
2016-06-13,17040.0,17100.0,16925.0,17065.0,417.0
2016-06-14,17095.0,17110.0,16855.0,16855.0,266.0
2016-06-15,16945.0,17350.0,16850.0,16905.0,622.0
2016-06-16,16960.0,17140.0,16885.0,17005.0,299.0
2016-06-17,17100.0,17225.0,17000.0,17010.0,311.0
2016-06-20,17055.0,17140.0,16970.0,17060.0,293.0
2016-06-21,17090.0,17170.0,16905.0,17150.0,298.0
2016-06-22,17100.0,17175.0,17010.0,17095.0,207.0
2016-06-23,17080.0,17285.0,17020.0,17235.0,224.0
2016-06-24,17250.0,17250.0,16500.0,17065.0,339.0
2016-06-27,17000.0,17155.0,16585.0,16775.0,355.0
2016-06-28,16935.0,17075.0,16755.0,16915.0,305.0
2016-06-29,16950.0,17075.0,16820.0,16960.0,269.0
2016-06-30,16970.0,17095.0,16970.0,17005.0,139.0
2016-07-01,17375.0,17450.0,17375.0,17375.0,830.0
2016-07-04,17365.0,18125.0,17350.0,18000.0,956.0
2016-07-05,18110.0,18110.0,17560.0,17600.0,422.0
2016-07-06,17550.0,17900.0,17350.0,17765.0,669.0
2016-07-07,17600.0,17600.0,17600.0,17600.0,915.0
2016-07-08,17515.0,17825.0,17400.0,17720.0,289.0
2016-07-11,17795.0,17980.0,17720.0,17720.0,276.0
2016-07-12,17795.0,17980.0,17705.0,17915.0,348.0
2016-07-13,17950.0,18000.0,17825.0,17885.0,225.0
2016-07-14,17885.0,18095.0,17825.0,18000.0,364.0
2016-07-15,18000.0,18255.0,18000.0,18000.0,711.0
2016-07-18,17875.0,17950.0,17805.0,17845.0,227.0
2016-07-19,17810.0,17875.0,17660.0,17670.0,484.0
2016-07-20,17610.0,17850.0,17610.0,17760.0,331.0
2016-07-21,17875.0,17875.0,17800.0,17815.0,274.0
2016-07-22,17845.0,17875.0,17715.0,17755.0,285.0
2016-07-25,17750.0,17805.0,17705.0,17730.0,134.0
2016-07-26,17765.0,17765.0,17695.0,17765.0,373.0
2016-07-27,17770.0,17825.0,17665.0,17700.0,289.0
2016-07-28,17800.0,17825.0,17715.0,17755.0,152.0
2016-07-29,17790.0,17870.0,17735.0,17855.0,191.0
2016-08-01,17900.0,17975.0,17775.0,17865.0,413.0
2016-08-02,17900.0,17995.0,17860.0,17990.0,323.0
2016-08-03,17975.0,18000.0,17905.0,17955.0,248.0
2016-08-04,17975.0,18050.0,17840.0,18040.0,368.0
