,NI.LME_open,NI.LME_high,NI.LME_low,NI.LME_close,NI.LME_volume
2019-03-14,13185.0,13200.0,12815.0,12905.0,9208.0
2019-03-15,12900.0,13045.0,12845.0,12935.0,8227.0
2019-03-18,12945.0,13065.0,12835.0,13010.0,6599.0
2019-03-19,13020.0,13290.0,13020.0,13155.0,7602.0
2019-03-20,13155.0,13365.0,13100.0,13340.0,5942.0
2019-03-21,13340.0,13370.0,12900.0,13025.0,9363.0
2019-03-22,13025.0,13070.0,12905.0,12975.0,8567.0
2019-03-25,12975.0,12995.0,12840.0,12955.0,7775.0
2019-03-26,12960.0,13155.0,12845.0,13105.0,8494.0
2019-03-27,13100.0,13145.0,12880.0,13050.0,6950.0
2019-03-28,13050.0,13050.0,12825.0,12875.0,8814.0
2019-03-29,12885.0,13170.0,12880.0,12995.0,8282.0
2019-04-01,13030.0,13335.0,13030.0,13115.0,10533.0
2019-04-02,13110.0,13200.0,12950.0,13165.0,11011.0
2019-04-03,13160.0,13430.0,13155.0,13355.0,8707.0
2019-04-04,13355.0,13395.0,12995.0,13160.0,8439.0
2019-04-08,13080.0,13325.0,13080.0,13200.0,6011.0
2019-04-09,13205.0,13315.0,13095.0,13235.0,6248.0
2019-04-10,13230.0,13305.0,13150.0,13180.0,5255.0
2019-04-11,13190.0,13205.0,12865.0,12970.0,10385.0
2019-04-12,12970.0,13060.0,12885.0,13020.0,6646.0
2019-04-15,12995.0,13065.0,12860.0,13000.0,6972.0
2019-04-16,12995.0,13160.0,12900.0,12930.0,6875.0
2019-04-17,12935.0,13160.0,12850.0,12885.0,8896.0
2019-04-18,12905.0,12920.0,12625.0,12660.0,11334.0
2019-04-19,,,,12660.0,
2019-04-22,,,,12660.0,
2019-04-23,12660.0,12660.0,12380.0,12410.0,10814.0
2019-04-24,12410.0,12500.0,12385.0,12425.0,6902.0
2019-04-25,12425.0,12475.0,12310.0,12325.0,6852.0
2019-04-26,12330.0,12515.0,12315.0,12435.0,7899.0
2019-04-29,12430.0,12510.0,12380.0,12410.0,6201.0
2019-04-30,12425.0,12485.0,12185.0,12240.0,7538.0
2019-05-06,,,,12200.0,
2019-05-07,12110.0,12160.0,11990.0,12030.0,9643.0
2019-05-08,12035.0,12140.0,11935.0,11935.0,7760.0
2019-05-09,11950.0,11960.0,11730.0,11815.0,9981.0
2019-05-10,11855.0,12070.0,11855.0,11960.0,11184.0
2019-05-13,11910.0,11930.0,11725.0,11765.0,7620.0
2019-05-14,11810.0,11960.0,11735.0,11930.0,8398.0
2019-05-15,11940.0,12165.0,11895.0,12140.0,17648.0
2019-05-16,12170.0,12235.0,12060.0,12125.0,8174.0
2019-05-17,12130.0,12160.0,12000.0,12000.0,6814.0
2019-05-20,12015.0,12015.0,11875.0,11985.0,8882.0
2019-05-21,12015.0,12140.0,11920.0,12090.0,7363.0
2019-05-22,12075.0,12090.0,11910.0,11970.0,6334.0
2019-05-23,11955.0,11965.0,11815.0,11890.0,6414.0
2019-05-24,11895.0,12495.0,11890.0,12380.0,16295.0
2019-05-27,,,,12380.0,
2019-05-28,12455.0,12460.0,12075.0,12150.0,10781.0
2019-05-29,12140.0,12165.0,12035.0,12040.0,8877.0
2019-05-30,12050.0,12185.0,12000.0,12095.0,7800.0
2019-05-31,12085.0,12175.0,11980.0,11990.0,10518.0
2019-06-03,11995.0,12030.0,11865.0,11880.0,10321.0
2019-06-04,11885.0,11925.0,11790.0,11800.0,8951.0
2019-06-05,11810.0,11855.0,11705.0,11715.0,9596.0
2019-06-06,11720.0,11855.0,11625.0,11675.0,9574.0
2019-06-10,11640.0,11850.0,11610.0,11625.0,8303.0
2019-06-11,11630.0,12025.0,11630.0,11900.0,11079.0
2019-06-12,11900.0,11975.0,11790.0,11845.0,7766.0
2019-06-13,11870.0,12040.0,11785.0,11845.0,11007.0
2019-06-14,11850.0,12065.0,11840.0,11920.0,9384.0
2019-06-17,11930.0,12000.0,11725.0,11765.0,8752.0
2019-06-18,11770.0,12050.0,11730.0,11950.0,9468.0
2019-06-19,11970.0,12180.0,11855.0,12120.0,13244.0
2019-06-20,12140.0,12390.0,12110.0,12325.0,11776.0
2019-06-21,12325.0,12325.0,12050.0,12115.0,9060.0
2019-06-24,12120.0,12230.0,12015.0,12190.0,6022.0
2019-06-25,12200.0,12375.0,12150.0,12310.0,9411.0
2019-06-26,12305.0,12510.0,12235.0,12505.0,10649.0
2019-06-27,12500.0,12770.0,12435.0,12735.0,14198.0
2019-06-28,12720.0,12775.0,12585.0,12675.0,9030.0
2019-07-01,12780.0,12850.0,12260.0,12325.0,16677.0
2019-07-02,12310.0,12330.0,12015.0,12110.0,9901.0
2019-07-03,12125.0,12385.0,12075.0,12370.0,10909.0
2019-07-04,12355.0,12425.0,12255.0,12380.0,6053.0
2019-07-05,12365.0,12480.0,12240.0,12465.0,6484.0
2019-07-08,12450.0,12725.0,12430.0,12710.0,7655.0
2019-07-09,12705.0,12775.0,12555.0,12750.0,7716.0
2019-07-10,12745.0,13030.0,12710.0,13015.0,10394.0
2019-07-11,13040.0,13200.0,13000.0,13120.0,10501.0
2019-07-12,13115.0,13590.0,13060.0,13575.0,12749.0
2019-07-15,13540.0,13725.0,13370.0,13665.0,11373.0
2019-07-16,13650.0,14200.0,13570.0,13940.0,18271.0
2019-07-17,13945.0,14460.0,13900.0,14375.0,15902.0
2019-07-18,14310.0,15115.0,14300.0,14945.0,19999.0
2019-07-19,14915.0,15105.0,14365.0,14650.0,16405.0
2019-07-22,14655.0,14685.0,14150.0,14240.0,9969.0
2019-07-23,14240.0,14430.0,14080.0,14225.0,9843.0
2019-07-24,14205.0,14550.0,14145.0,14530.0,11586.0
2019-07-25,14530.0,14545.0,13930.0,14030.0,8855.0
2019-07-26,14030.0,14235.0,13955.0,14135.0,5826.0
2019-07-29,14140.0,14385.0,13885.0,14350.0,7015.0
2019-07-30,14355.0,14485.0,14215.0,14305.0,6270.0
2019-07-31,14310.0,14555.0,14255.0,14555.0,7371.0
2019-08-01,14485.0,14765.0,14220.0,14450.0,9557.0
2019-08-02,14375.0,14600.0,14175.0,14485.0,10637.0
2019-08-05,14450.0,14970.0,14285.0,14860.0,14650.0
2019-08-06,14850.0,15090.0,14795.0,14955.0,9628.0
2019-08-07,14950.0,15520.0,14610.0,15450.0,15061.0
2019-08-08,15420.0,16690.0,15315.0,15830.0,22621.0
2019-08-09,15830.0,15910.0,15500.0,15660.0,12444.0
2019-08-12,15665.0,16145.0,15020.0,15700.0,16475.0
2019-08-13,15640.0,15985.0,15620.0,15750.0,10377.0
2019-08-14,15785.0,16090.0,15480.0,15895.0,9698.0
2019-08-15,15900.0,16385.0,15765.0,16180.0,9464.0
