指标名称,光伏行业综合价格指数(SPI),光伏行业综合价格指数(SPI):多晶硅,光伏行业综合价格指数(SPI):硅片,光伏经理人指数(SMI):全行业
2023-11-27,20.23,38.39,21.94,124.615257
2023-12-04,19.73,37.77,21.94,122.3
2023-12-11,18.99,37.77,21.2,120.480413
2023-12-18,18.68,37.77,20.06,119.91
2023-12-25,18.33,37.15,19.37,121.492525
2024-01-08,17.64,36.53,19.1,128.501514
2024-01-15,17.67,35.91,19.1,133.703112
2024-01-22,17.83,35.91,19.15,135.526708
2024-01-29,17.77,35.91,19.15,132.098649
2024-02-05,17.99,37.15,19.43,125.794034
2024-02-26,18.07,37.77,19.43,127.806677
2024-03-04,18.07,37.77,19.43,131.098313
2024-03-11,18.07,37.77,19.43,144.347412
2024-03-18,18.0,37.77,19.15,138.793862
2024-03-25,17.77,37.77,18.63,137.11
2024-04-08,17.09,35.91,17.99,134.55
2024-04-15,16.45,32.2,17.44,130.600831
2024-04-22,16.1,29.72,17.44,126.823378
2024-04-29,15.68,27.86,17.16,129.579369
2024-05-13,15.09,26.01,16.61,128.382204
2024-05-20,14.77,25.39,16.12,124.156703
2024-05-27,14.27,24.77,15.01,127.780636
2024-06-03,14.07,24.15,14.74,129.065235
2024-06-11,13.98,23.53,14.74,124.928504
2024-06-17,13.98,23.53,14.74,123.48788
2024-06-25,13.87,22.91,14.74,121.000444
2024-07-01,13.87,22.91,14.74,119.704582
2024-07-09,13.63,22.29,14.74,115.483321
2024-07-15,13.63,22.29,14.74,118.864991
2024-07-22,13.58,22.29,14.74,125.047545
2024-07-29,13.56,22.29,14.74,125.411057
2024-08-05,13.56,22.29,14.74,124.1988
2024-08-12,13.56,22.29,14.74,126.701526
2024-08-19,13.56,22.29,14.74,123.255526
2024-08-26,13.46,22.29,14.74,125.258479
