,L.DCE_open,L.DCE_high,L.DCE_low,L.DCE_close,L.DCE_volume
2020-01-06,7360.0,7470.0,7330.0,7440.0,356126.0
2020-01-07,7435.0,7445.0,7380.0,7400.0,222297.0
2020-01-08,7405.0,7570.0,7385.0,7480.0,368089.0
2020-01-09,7455.0,7500.0,7370.0,7380.0,298763.0
2020-01-10,7380.0,7450.0,7360.0,7450.0,160422.0
2020-01-13,7455.0,7505.0,7410.0,7485.0,272202.0
2020-01-14,7475.0,7490.0,7415.0,7420.0,176440.0
2020-01-15,7420.0,7435.0,7345.0,7365.0,202148.0
2020-01-16,7375.0,7390.0,7290.0,7295.0,205147.0
2020-01-17,7295.0,7330.0,7290.0,7305.0,133380.0
2020-01-20,7305.0,7310.0,7245.0,7260.0,188290.0
2020-01-21,7260.0,7280.0,7215.0,7230.0,158580.0
